Semana,CNPJ_Fundo,Gestor_Apelido,Captacao,Resgate,PL_Medio,DataBase
2025-07-28,21336427000135,"BTG Asset",399308.63,931376.98,1430264393.32,2025-08-01
2025-07-28,21336440000194,"BTG Asset",118223.32,969506.01,1801066160.3,2025-08-01
2025-07-28,21596021000191,"BTG WM",2000000,0,184864448.81,2025-08-01
2025-07-28,21613158000107,"BTG WM",0,0,156170871.03,2025-08-01
2025-07-28,21762085000115,"JGP",503000,165000,484526203.83,2025-08-01
2025-07-28,21791224000139,"BRZ",0,0,92130181.79,2025-08-01
2025-07-28,21888723000149,"IAM",7610748.69,2578509.12,3144681601.62,2025-08-01
2025-07-28,22041150000186,"Plural",1436.03,1742210.67,444094716.96,2025-08-01
2025-07-28,22118303000146,"Capitânia",0,0,131738569.94,2025-08-01
2025-07-28,22232878000195,"BTG Asset",25380000,0,1552977833.89,2025-08-01
2025-07-28,22985070000189,"XPG",0,0,279703801.2,2025-08-01
2025-07-28,23225882000199,"Atena",0,169000,116919774.47,2025-08-01
2025-07-28,23225888000166,"Butiá",1043000,2011000,378846563.26,2025-08-01
2025-07-28,23272391000107,"Capitânia",36700,0,219853996.38,2025-08-01
2025-07-28,23376623000169,"Polo",404.06,400000,73746457.09,2025-08-01
2025-07-28,23502713000159,"Plural",30920,295536.65,253371244.07,2025-08-01
2025-07-28,23556180000198,"AZ Quest",1965970.12,3270508.75,2175151878.44,2025-08-01
2025-07-28,23556204000109,"AZ Quest",294475.72,6281651.34,4748415283.39,2025-08-01
2025-07-28,23731475000153,"UBS",0,0,27276055.42,2025-08-01
2025-07-28,23738226000190,"AZ Quest",1907574.24,8614810.18,4214370948.6,2025-08-01
2025-07-28,23748539000129,"Sulamérica",0,0,196705916.9,2025-08-01
2025-07-28,23781888000142,"BTG WM",0,0,63034195,2025-08-01
2025-07-28,24011864000177,"Porto Asset",50000,900,451944269.22,2025-08-01
2025-07-28,24068085000108,"TAG",0,0,79083617.22,2025-08-01
2025-07-28,24215239000147,"JGP",0,0,1926370002.02,2025-08-01
2025-07-28,24215307000178,"Quantitas",500000,0,1568474310.13,2025-08-01
2025-07-28,24444154000130,"Sparta",1100000,188658,653395237.92,2025-08-01
2025-07-28,24572511000146,"Galt",5150,48432,144886031.02,2025-08-01
2025-07-28,24986620000100,"Polo",0,0,162488013.09,2025-08-01
2025-07-28,25036659000129,"G5",0,0,34563271.08,2025-08-01
2025-07-28,25079461000122,"Safra Asset",0,0,39844906.21,2025-08-01
2025-07-28,25234711000151,"BB Asset",4551.68,605.9,9316551856.76,2025-08-01
2025-07-28,25307339000166,"UBS",0,222222.22,955432513.79,2025-08-01
2025-07-28,25341064000187,"IAM",527454790.94,154516825.65,43710135740.5,2025-08-01
2025-07-28,25682025000143,"ASA",500,97557.75,33810362.49,2025-08-01
2025-07-28,26143135000108,"G5",0,0,19592756.18,2025-08-01
2025-07-28,26173300000166,"BV Asset",0,0,1292927.21,2025-08-01
2025-07-28,26313371000117,"Principal",0,0,68591645.2,2025-08-01
2025-07-28,26313391000198,"Polo",0,0,151675545.48,2025-08-01
2025-07-28,26324274000120,"BNP",0,0,2750065607.93,2025-08-01
2025-07-28,26370161000160,"Franklin Templeton",0,0,16333406.47,2025-08-01
2025-07-28,26374791000103,"UBS",0,124626.28,10039361.09,2025-08-01
2025-07-28,26491419000187,"Kinea",3472394.68,1310819.32,4755261373.63,2025-08-01
2025-07-28,26498249000162,"Capitânia",10000,5147205.24,618762874.05,2025-08-01
2025-07-28,26525450000191,"JGP",16656,0,114983835.21,2025-08-01
2025-07-28,26664935000166,"Devant",0,55000,10431139.36,2025-08-01
2025-07-28,26703080000135,"BTG WM",0,0,25086838.72,2025-08-01
2025-07-28,26725148000187,"G5",0,0,22969232.25,2025-08-01
2025-07-28,26773252000147,"BB Asset",0,0,56070440.87,2025-08-01
2025-07-28,26845906000109,"Investcoop",0,0,1230240829.43,2025-08-01
2025-07-28,26861544000131,"XPG",0,0,12238436.16,2025-08-01
2025-07-28,26978438000132,"Iridium",5918896.03,9612588.05,1524441519.63,2025-08-01
2025-07-28,27293743000153,"Somma",0,0,206516633.91,2025-08-01
2025-07-28,27566032000105,"Sonata",0,0,23088446.43,2025-08-01
2025-07-28,27826059000190,"Inter",859614.79,440590.35,211701913.31,2025-08-01
2025-07-28,27883656000156,"Dynamo",0,0,450862253.79,2025-08-01
2025-07-28,27927529000101,"BTG WM",0,0,28401102.81,2025-08-01
2025-07-28,27974854000125,"Brainvest",0,0,21735755.86,2025-08-01
2025-07-28,28206220000195,"Somma",157158.16,221745.56,365031514.02,2025-08-01
2025-07-28,28320857000108,"Franklin Templeton",0,0,2782055293.79,2025-08-01
