CNPJ,Nome,Gestor,Segmento,MesBase,PL_Carteira,Disponibilidades,TitulosPublicos,Compromissadas,ParcelaAberta,ParcelaConfid,CotasNaoIdentificadas,CaixaDireto,CaixaIndiretoConfirmado,CaixaIndiretoCandidato,CaixaPotencialTotal,PctPL,ClasseFundoCaixa,PLDiario,DataPLDiario,CaixaEstimadoAtual,FluxoLiquidoPosterior,Cobertura,NivelConfianca,Feeder,CompradorDireto,NoConsolidado,CaixaConsolidado,Justificativa
"54745704000112","RENDA FIXA PORTFOLIO INCENTIVADO FUNDO DE INVESTIMENTO EM INFRAESTRUTURA CRÉDITO PRIVADO","XPG","12431",202605,35308728.93,2026,201225,0,0,203251,349977,203251,0,0,203251,0.0058,"nao classificado",33847298.93,2026-07-09,194838.43,-1907070.98,1,alto,nao,sim,sim,203251,"cotas confidenciais nao identificadas: R$ 349.977 (nao viram caixa)"
"65680395000166","BB JHA INFRA RENDA FIXA FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RESP LIMITADA","BB Asset","12431",202605,34721380.8,11249.76,0,189682.51,200932.27,0,0,200932.27,0,0,200932.27,0.0058,"nao classificado",34978430.13,2026-07-09,202419.81,-1.18,1,alto,nao,sim,sim,200932.27,""
"63138979000189","SANTANDER PB PJ INVESTIMENTO EM INFRA RENDA FIXA - FIF RESP LIMITADA","San WM","12431",202605,1362374.83,5000,0,0,5000,0,0,5000,193114.91,0,198114.91,0.1454,"nao classificado",205922.59,2026-07-08,29945.02,-1000003.27,1,alto,nao,sim,sim,198114.91,"caixa indireto via fundo-caixa externo somado ao consolidado"
"47540226000149","LONTRAS II FIF FUNDO INCENTIVADO EM INVESTIMENTO EM DEB DE INFRA RENDA FIXA CRED PRIV RESP LIMITADA","IAM","12431",202605,1623830.1,62969.28,133756.46,0,196725.74,0,0,196725.74,0,0,196725.74,0.1211,"nao classificado",1635371.83,2026-06-30,198124.01,-0.48,1,alto,nao,sim,sim,196725.74,""
"52272425000153","PETRA DIAMANTI FUNDO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA CRÉDITO PRIVADO","XPG","12431",202605,8658122.37,4115,191073,0,0,195188,812353,195188,0,0,195188,0.0225,"nao classificado",8882217.48,2026-07-09,200239.98,4.67,1,alto,nao,sim,sim,195188,"cotas confidenciais nao identificadas: R$ 812.353 (nao viram caixa)"
"51024922000170","TDI CLASSE INCENTIVADA DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA - RESP LIMITADA","Turim","12431",202605,35115914.36,2000,0,0,2000,0,0,2000,191626.24,0,193626.24,0.0055,"nao classificado",35935671.1,2026-07-09,198146.31,599986.43,1,alto,nao,sim,sim,193626.24,"caixa indireto via fundo-caixa externo somado ao consolidado"
"63211828000109","G5 CRYSTAL FIF - CLASSE DE INVESTIMENTO RF INCENTIVADO DE INVESTIMENTO EM INFRA - RESP LIMITADA","G5","12431",202605,19970776.38,2000,0,0,2000,0,0,2000,187416.78,0,189416.78,0.0095,"nao classificado",20138957.37,2026-07-08,191011.92,-1.42,1,alto,nao,sim,sim,189416.78,"caixa indireto via fundo-caixa externo somado ao consolidado"
"62728127000189","BB YAC INFRA RENDA FIXA FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAESTRUTURA RESP LIMITADA","BB Asset","12431",202605,13935003.92,11119.37,0,175851.5,186970.87,0,0,186970.87,0,0,186970.87,0.0134,"nao classificado",9006258.62,2026-07-09,120840.15,-4999976.67,1,alto,nao,sim,sim,186970.87,""
"66298117000101","SHIRA IV FUNDO DE INV FINANCEIRO INV EM INFRAESTRUTURA CLASSE DE INV EM INFRA RF RESP LIMITADA","Safra Asset","12431",202605,22211461.12,11167.99,171906.23,0,183074.22,0,0,183074.22,0,0,183074.22,0.0082,"nao classificado",59577351.03,2026-07-09,491056.26,36674139.03,1,medio,nao,sim,sim,183074.22,""
"59091360000199","FAMÍLIA RORATO FUNDO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA CRÉDITO PRIVADO","XPG","12431",202605,22952760.87,176737,0,0,0,176737,1549827,176737,0,0,176737,0.0077,"nao classificado",23521289.49,2026-07-09,181114.69,18.01,1,alto,nao,sim,sim,176737,"cotas confidenciais nao identificadas: R$ 1.549.827 (nao viram caixa)"
