Dia,Gestor_Apelido,Captacao,Resgate,Liquido,PL,Num_Fundos
2026-06-05,"Newave",0,0,0,48812238.9,1
2026-06-05,"Nikos",79382.25,4229160.38,-4149778.13,214114663.94,3
2026-06-05,"Novus",100000,4150000,-4050000,193312641.66,1
2026-06-05,"Nu Asset",0,0,0,103257333.55,1
2026-06-05,"Occam",318700,17806761.94,-17488061.94,1744676350.6,5
2026-06-05,"Opportunity",0,0,0,31286325.93,1
2026-06-05,"Oriz",0,0,0,338798631.1,13
2026-06-05,"Paramis",0,120000,-120000,161018140.65,2
2026-06-05,"Pátria",0,35000,-35000,34426485.98,1
2026-06-05,"Perfin",0,0,0,622852863.28,5
2026-06-05,"Persevera",0,0,0,26071476.99,1
2026-06-05,"Plural",1364335.83,7842547.5,-6478211.67,1762739482.75,7
2026-06-05,"Porto Asset",3650.28,130638.7,-126988.42,90766089.53,2
2026-06-05,"Portofino",0,0,0,348641755.96,10
2026-06-05,"Principal",0,0,0,8614831.93,1
2026-06-05,"Proteus",0,0,0,521796435.33,1
2026-06-05,"Rafter",352834.26,500000,-147165.74,346926587.82,3
2026-06-05,"RB Asset",150000,10981028,-10831028,1113344962.43,6
2026-06-05,"RBR",0,0,0,121221895.26,2
2026-06-05,"Rio Bravo",0,313374.49,-313374.49,126940991.78,3
2026-06-05,"Riza",0,9539323.2,-9539323.2,577403051.92,4
2026-06-05,"Root",0,0,0,196438628.69,1
2026-06-05,"Rubik",0,0,0,52083481.08,1
2026-06-05,"Safra Asset",12500,13289455.63,-13276955.63,7670850305.76,67
2026-06-05,"SAM",1510309.03,1574685991.94,-1573175682.91,11254114261.43,9
2026-06-05,"San Tsy",100000000,0,100000000,19256979418.17,2
2026-06-05,"San WM",940000,12560883.08,-11620883.08,6567196907.64,140
2026-06-05,"Scalare",0,0,0,1789276489.82,3
2026-06-05,"Seven Pounds",0,0,0,45611732.33,1
2026-06-05,"Somma",0,205.48,-205.48,14504843.33,1
2026-06-05,"Sonata",0,0,0,105420596.06,1
2026-06-05,"Sparta",4120652.1,28571499.18,-24450847.08,9894063549.36,19
2026-06-05,"SPX",191519.11,15689579.49,-15498060.38,1298106001.45,4
2026-06-05,"STK",0,0,0,27084513.25,1
2026-06-05,"Sulamérica",3167000,4838580.59,-1671580.59,1488849472.39,5
2026-06-05,"Suno",0,0,0,69924883.13,2
2026-06-05,"SVN",437246.47,2834535,-2397288.53,304691753.51,1
2026-06-05,"SWM",0,27626.06,-27626.06,522969153.31,4
2026-06-05,"TAG",0,0,0,60817808.24,1
