CNPJ,Ref,Media180,NDias
60291736000198,HOJE,92832287,122
60344823000166,202512,185993463,126
60344823000166,202601,191952103,126
60344823000166,202602,197456107,124
60344823000166,202603,202329722,123
60344823000166,202604,204373876,122
60344823000166,202605,205848416,121
60344823000166,202606,207599422,122
60344823000166,202607,209296894,124
60344823000166,HOJE,209396159,121
60355769000154,202512,37165040,126
60355769000154,202601,37601752,126
60355769000154,202602,38007724,124
60355769000154,202603,38410033,123
60355769000154,202604,38668243,122
60355769000154,202605,38933970,121
60355769000154,202606,39255736,122
60355769000154,202607,39579951,124
60355769000154,HOJE,39602211,121
60396945000104,202512,21509638,126
60396945000104,202601,21795374,126
60396945000104,202602,22064185,124
60396945000104,202603,22250256,123
60396945000104,202604,22354012,122
60396945000104,202605,22388591,121
60396945000104,202606,22420290,122
60396945000104,202607,22458475,124
60396945000104,HOJE,22448264,121
60422070000160,202512,85692442,126
60422070000160,202601,106515897,126
60422070000160,202602,127008670,124
60422070000160,202603,151497951,123
60422070000160,202604,172316387,122
60422070000160,202605,178664099,121
60422070000160,202606,180017867,122
60422070000160,202607,180466441,124
60422070000160,HOJE,180472189,122
60442622000100,202512,29488916,126
60442622000100,202601,31120624,126
60442622000100,202602,31418125,124
60442622000100,202603,31735094,123
60442622000100,202604,32021969,122
60442622000100,202605,32175167,121
60442622000100,202606,32265176,122
60442622000100,202607,32371644,124
60442622000100,HOJE,32373677,121
60442677000101,202512,38017735,126
60442677000101,202601,37405236,126
60442677000101,202602,36567767,124
60442677000101,202603,34614428,123
60442677000101,202604,31958956,122
60442677000101,202605,28434269,121
60442677000101,202606,23928971,122
60442677000101,202607,21422029,123
60442677000101,HOJE,21017526,121
60450312000129,202512,302937267,126
60450312000129,202601,306950425,126
60450312000129,202602,310774178,124
60450312000129,202603,313178435,123
60450312000129,202604,314446715,122
60450312000129,202605,315010763,121
60450312000129,202606,315704559,122
60450312000129,202607,316369526,124
60450312000129,HOJE,316225053,121
60450321000110,202512,67511958,126
60450321000110,202601,67963110,126
60450321000110,202602,68519836,124
60450321000110,202603,69079556,123
60450321000110,202604,69661143,122
60450321000110,202605,69919595,121
60450321000110,202606,69906158,122
60450321000110,202607,69945290,124
60450321000110,HOJE,69931976,121
60456463000194,202512,29552991,126
60456463000194,202601,31252965,126
60456463000194,202602,32848917,124
60456463000194,202603,34714038,123
60456463000194,202604,36442707,122
60456463000194,202605,38090105,121
60456463000194,202606,39430029,122
60456463000194,202607,39635528,124
60456463000194,HOJE,39642210,121
60456656000145,202512,23690037,126
60456656000145,202601,23896852,126
60456656000145,202602,24126367,124
60456656000145,202603,24331653,123
60456656000145,202604,24519348,122
60456656000145,202605,25047663,121
60456656000145,202606,26029324,122
60456656000145,202607,27082006,124
60456656000145,HOJE,27182269,121
60477852000104,202512,117820467,126
60477852000104,202601,146588439,126
60477852000104,202602,173103221,124
60477852000104,202603,193713948,123
60477852000104,202604,199492740,122
60477852000104,202605,201714984,121
