CNPJ_Fundo,Nome_Fundo,Gestor_Apelido,PctCDI_1s,PctCDI_1m,PctCDI_3m,PctCDI_6m,PctCDI_12m
64717139000133,"ICATU VANGUARDA BP DINÂMICO CDI PREVIDÊNCIA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO","Icatu",108.1625,105.921,119.2687,,
64820042000151,"G5 PITAGORAS II FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO","G5",-706.1954,-108.4479,60.5053,,
64985472000123,"SANTANDER PB ALOCAÇÃO CORPORATIVOS RENDA FIXA CRÉDITO PRIVADO - FIF","San WM",108.1282,103.2016,110.0677,,
65028745000104,"XP DSA FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA","XPG",108.004,106.1539,120.0643,,
65131307000177,"VALORA OPPORTUNA PREVIDENCIÁRIO FI FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITA","Valora",138.5948,115.2746,128.0745,,
65448597000187,"TYTON CRÉDITO PREVIDÊNCIA IQ PREVIDÊNCIA FUNDO DE INVESTIMENTO MULTIMERCADO","Tyton",147.2982,116.3693,,,
65838693000131,"HERITAGE RUBY MASTER OFFSHORE FIF RF INVESTIMENTO EM INFRA CRÉDITO  PRIVADO RESP LIMITADA","Heritage",118.9106,104.0739,,,
65927318000168,"CAPITÂNIA CARTEIRA CRI II FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO RESP LIMITADA","Capitânia",171.786,135.2937,,,
65927708000138,"CAPITÂNIA MULTI RECEBÍVEIS II FIF RENDA FIXA CRÉDITO PRIVADO RESP LIMITADA","Capitânia",164.3357,120.2229,,,
66148281000132,"SANTANDER PB MONTE BARBADO RENDA FIXA CRÉDITO PRIVADO - FIF RESP LIMITADA","San WM",99.8868,96.1324,,,
66275639000198,"BRAM WAREHOUSE 2 FIF - CLASSE DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA","BRAM",110.118,102.1363,,,
66572852000161,"VINLAND OPPORTUNA FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO LP RESP LIMITADA","Vinland",136.1066,147.7438,,,
66608223000144,"TRN FLOATING HIGH GRADE FIF - CLASSE DE INVESTIMENTO RF CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA","Troon",106.1487,104.5769,,,
67280664000122,"ITAÚ FUNDO INCENTIVADO DE INVESTIMENTO FINANCEIRO EM INFRAEST IFRI CDI II RF CRED PRIV RESP LIMITADA","IAM",92.3162,97.2615,,,
67288854000196,"BOA VISTA FIF - CLASSE DE INVESTIMENTO RENDA FIXA INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA","Oriz",107.2355,106.1395,,,
