Semana,Gestor_Apelido,Captacao,Resgate,Liquido,PL_Medio,Num_Fundos,DataBase
2025-08-11,"Occam",10208907.18,369000,9839907.18,152402040.49,2,2025-08-15
2025-08-11,"Opportunity",0,0,0,24314822.6,1,2025-08-15
2025-08-11,"Oriz",0,0,0,304506939.05,9,2025-08-15
2025-08-11,"Paramis",380000,1425000,-1045000,160176412.26,2,2025-08-15
2025-08-11,"Pátria",0,368032.5,-368032.5,35046458.9,1,2025-08-15
2025-08-11,"Perfin",2000000,0,2000000,560270683.88,5,2025-08-15
2025-08-11,"Persevera",0,0,0,73942794.89,1,2025-08-15
2025-08-11,"Plural",19422209.2,3976360.68,15445848.52,1124515823.47,5,2025-08-15
2025-08-11,"Porto Asset",1248021.62,18079.27,1229942.35,63811897.92,2,2025-08-15
2025-08-11,"Portofino",0,0,0,336841121.8,10,2025-08-15
2025-08-11,"Principal",6970,17654.21,-10684.21,14989174.72,1,2025-08-15
2025-08-11,"Proteus",5492432,223000,5269432,852059080.43,1,2025-08-15
2025-08-11,"Rafter",1650518.32,50000,1600518.32,316591255.82,3,2025-08-15
2025-08-11,"RB Asset",26497000,3369000,23128000,1248493860.88,4,2025-08-15
2025-08-11,"RBR",0,0,0,117971411.89,2,2025-08-15
2025-08-11,"Rio Bravo",1326504.97,200000,1126504.97,65604093.45,3,2025-08-15
2025-08-11,"Riza",7314018.3,987679.69,6326338.61,207931713.42,2,2025-08-15
2025-08-11,"Root",0,0,0,166397451.88,1,2025-08-15
2025-08-11,"Rubik",33756.88,0,33756.88,49174847.61,1,2025-08-15
2025-08-11,"Safra Asset",339656942.45,69131012.03,270525930.42,14180034068.22,78,2025-08-15
2025-08-11,"SAM",149014320.02,46993000,102021320.02,7562403525.52,7,2025-08-15
2025-08-11,"San Tsy",56000000,0,56000000,14407898354.44,2,2025-08-15
2025-08-11,"San WM",2525336.83,2322793.63,202543.2,4802110432.03,92,2025-08-15
2025-08-11,"Scalare",4015428.85,11795461.22,-7780032.37,2228648982.7,3,2025-08-15
2025-08-11,"Seven Pounds",40000000,0,40000000,44932061,1,2025-08-15
2025-08-11,"Somma",199211,2650.53,196560.47,13494011.72,1,2025-08-15
