CNPJ Gestor,Nome Gestor,Apelido Gestor
13.421.810/0001-63,VINCI SOLUÇÕES DE INVESTIMENTOS LTDA,Vinci
10.917.835/0001-64,VINCI EQUITIES GESTORA DE RECURSOS LTDA,Vinci
31.982.447/0001-37,VINCI CG GESTORA DE RECURSOS LTDA,Vinci
31.846.872/0001-07,VINLAND CAPITAL MANAGEMENT CRÉDITO PRIVADO GESTORA DE RECURSOS LTDA.,Vinland
07.341.777/0001-69,VINLAND CAPITAL MANAGEMENT GESTORA DE RECURSOS LTDA.,Vinland
30.406.191/0001-57,VITRA GESTÃO DE PATRIMONIO LTDA,Vitra
44.322.890/0001-23,VLGI ASSET LTDA.,VLGI
10.814.751/0001-03,VOX CAPITAL GESTÃO DE RECURSOS SA,Vox
25.248.367/0001-50,VÊNETO GESTÃO DE RECURSOS LTDA,Vêneto
24.176.946/0001-71,WARREN BRASIL GESTAO E ADMINISTRACAO DE RECURSOS & CORRETORA DE SEGUROS LTDA.,Warren
17.305.299/0001-95,WE CAPITAL INVESTIMENTOS LTDA.,WE Capital
34.848.969/0001-39,WEALTH HIGH GOVERNANCE CAPITAL LTDA.,WHG
10.442.603/0001-05,WISE ASSET MANAGEMENT LTDA,Wise
28.093.642/0001-00,WIT GESTÃO DE RECURSOS LTDA.,WIT
15.289.957/0001-77,XP ADVISORY GESTAO DE RECURSOS LTDA,XPG
16.789.525/0001-98,XP VISTA ASSET MANAGEMENT LTDA.,XPG
07.625.200/0001-89,XP GESTÃO DE RECURSOS LTDA,XPG
02.332.886/0001-04,XP INVESTIMENTOS CCTVM S.A.,XPG
29.408.732/0001-05,XP VIDA E PREVIDÊNCIA S.A.,XPG
41.940.952/0001-72,XVI CAPITAL LTDA.,XVI
51.233.251/0001-57,YVY CAPITAL ASSET MANAGEMENT LTDA.,YVY
51.565.213/0001-00,ZSYS ASSET MANAGEMENT LTDA.,ZSYS
87.376.109/0001-06,ZURICH SANTANDER BRASIL SEGUROS E PREVIDENCIA S.A.,Zurich
51.004.798/0001-80,ÉTRE-DAVOS GESTORA DE RECURSOS LTDA.,Être-Davos
