CD_ATIVO,GESTOR,VL_ALOCADO
"CBRDA8","(fundo nao cadastrado)",13214650.15
"VERO23","BB Asset",21996690.17
"NTSD26","Valora",2927530.69
"VBBR18","Paramis",510189.21
"VALEC0","AF Invest",943409.72
"TBSP12","Sulamérica",127660597.58
"CEPEA6","XPG",23906389.42
"SUHA11","Augme",4443977.66
"ARTR19","(fundo nao cadastrado)",558017.27
"PEJA22","Journey",1887505.15
"CTTL11","Riza",26829519.53
"ENMTB2","Porto Asset",23539549.05
"ASAI19","XPG",42359996.07
"FISI14","Safra Asset",20646723.83
"TFLEA9","Polo",9128296.68
"CSANB0","BTG Asset",10263690.38
"ESCEB6","BRAM",125536748.95
"ALUP18","Portofino",1077122.25
"MSRO17","Butiá",59998.1
"VLIDB1","Root",37027029.43
"EEELA5","ASA",109291.94
"VERO13","UBS",7716443.12
"CVCB14","Solis",3701860.4
"EGIEB1","BRAM",98368.25
"JALL11","Portofino",2535967.95
"RDORD9","YVY",3798276.33
"TSSG21","Turim",1062670.3
"IGTAB0","Maud",800850.03
"VAMO33","Sulamérica",2796205.1
"CPGT18","IAM",333597375.57
"CBAN22","Franklin Templeton",26128558.73
"EEELA4","BR Partners",607714.22
"MOTVA8","San WM",5558362.32
"VBBR26","Root",53211931.49
"VULN11","SAM",34321467.6
"MEZ511","Andbank",1378326.59
"CESPA4","Franklin Templeton",17210517.81
"IGTAB1","Valora",230296.06
"YDUQA2","Brainvest",511673.17
"AHGD13","SPX",7711554.37
"AEGPB7","Novus",38198.09
"VERTD3","(fundo nao cadastrado)",112632947.74
"FLRYB0","ASA",1047751.29
"JALL21","Plural",502476.94
"PALFA3","San WM",5404446.51
"CPLD38","Rafter",745752.62
"MOTVA8","BB Asset",206483284.87
"PLSB1A","G5",63694.61
"SUZBA0","(fundo nao cadastrado)",16796785.13
"HGLB13","Legacy",31982982.3
"ERDVA6","Riza",3965348.98
"VIXL15","BRZ",94107.12
"VERTB5","Kinea",63571825.15
"CMGD27","Turim",512163.88
"FEPS11","Vinland",32026193.46
"RSPA11","Rio Bravo",2117928.94
"CEEBB2","SAM",9240362.72
"CEEBB6","San WM",13153284.7
"GASC18","ARX",18819901.63
"EKTRB6","Legacy",25807168.9
"NTSD35","Kinea",133089832.5
"EGIEA0","G5",810260.14
"CSANA0","(fundo nao cadastrado)",170547282.26
"RENTA5","BTG WM",78776417.24
"RNDNB0","BRAM",8565554.61
"CTEE2B","BR Partners",11863.56
"CPLD37","Sparta",951451.87
"RNDNA1","IAM",205739557.14
"ENGIC4","Butiá",7707429.22
"ACMB13","Tivio",13814908.92
"MVLVA1","G5",68767.61
"CLGE11","(fundo nao cadastrado)",1685020.96
"POTE11","Daycoval",586521.07
"SBSPF9","Galapagos",191991.24
"ANHBA5","Rafter",9539603.47
"GASC18","Asset 1",1107053.04
"SUZBB1","Kadima",46733.65
"VLIDA0","(fundo nao cadastrado)",6027763.92
"ENMTC5","Safra Asset",86186016.37
"ERDVA6","ASA",1158785.92
"IOCHA4","SFI",1033534.21
"GASC19","IAM",177587982.06
"ENJG21","ASA",71162.83
"FRAG16","Scalare",9583072.44
"SBSPD4","BRAM",2737161.68
"RENTC4","Kinea",12681290.58
"EQTR21","XPG",766117.74
"ITPE12","(fundo nao cadastrado)",874.92
"CSAN23","BR Partners",717094.48
"EEELA4","XPG",15441014.6
"CMIN11","Vinland",838044.74
"EEELB1","Root",5275298.32
"NTSD36","Sparta",4822457.43
"TPER1B","BRZ",750.7
"SMFTA2","Tivio",31127969.47
"FLRY25","Valora",690928.42
"CEEDA0","Somma",6057006.92
"MSGT13","BTG WM",3538577.81
"RDORD3","Ekho",388301.53
"AEGPB3","Investcoop",20019498.84
"ASCP13","Mirabaud",525780.82
"ENEV18","IAM",6037829.54
"CEEBC4","SAM",17598292.54
"RCEN12","ITAU Tsy",172172870.7
"GASP17","(fundo nao cadastrado)",51911103.08
"RUMOA4","Porto Asset",444221.6
"EUFA17","Lifetime",315128.27
"ENERC3","Safra Asset",495676.12
"TIET19","Inter",9007792.12
"ASAI22","(fundo nao cadastrado)",31955690.59
"LIGHB6","(fundo nao cadastrado)",18013461.12
"CSNAA5","Legacy",2697394.39
"CEEBA8","UBS",8151764.62
"CERT11","Oriz",13719963.36
"RSPA11","JGP",16363230.11
"VLIM25","Scalare",10689339.6
"VIXL19","Nu Asset",4179670.5
"ISAEB1","ASA",416417.39
"CGMG18","Tenax",4787802.98
"CMGD19","Plural",20478176.97
"PEJA11","IAM",416323.69
"CSANC2","JGP",26103649.53
"VLIM14","Plural",12357944.23
"RALM11","Ibuina",39266569.79
"MGLUA0","Douro",170978.87
"LORTB9","SAM",22793390.71
