"ticker","taxaAnbimaOriginal","tipoTaxaAnbima","txAnbimaFormatada","indexadorAnbima","dataReferenciaAnbima","dataVencimento","durationAnbimaDiasUteis","durationAnbimaAnos","percentualCdiOriginal","spreadCdiEquivalente","metodologiaConversaoCdi","ntnbReferencia","codigoNtnbExibicao","taxaNtnbReferencia","spreadNtnbBps","statusCalculoAnbima","motivoAusenciaAnbima","fonteAnbima"
"AZZA12","1,6728","DI_SPREAD","CDI + 1,67%","DI + 1.2500%","2026-07-17","2030-08-15","677,00","2,69","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"AZZA13","2,0392","DI_SPREAD","CDI + 2,04%","DI + 1.0000%","2026-07-17","2028-01-28","335,00","1,33","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"BARU11","8,2424","IPCA_SPREAD","B37 + 29 bps","IPCA + 7.7959%","2026-07-17","2043-03-15","1878,00","7,45","","","","2037-05-15","B37","7,9261","29","ok","","ANBIMA Data API (web-bff)"
"BCBF16","5,0564","DI_SPREAD","CDI + 5,06%","DI + 1.4500%","2026-07-17","2027-10-07","166,00","0,66","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"BCPSA4","0,3036","DI_SPREAD","CDI + 0,30%","DI + 1.2000%","2026-07-17","2027-02-20","139,00","0,55","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"BCPSA5","7,7184","IPCA_SPREAD","B29 - 55 bps","IPCA + 5.7687%","2026-07-17","2029-03-15","613,00","2,43","","","","2029-05-15","B29","8,3100","-55","ok","","ANBIMA Data API (web-bff)"
"BCPSA6","0,3671","DI_SPREAD","CDI + 0,37%","DI + 0.5500%","2026-07-17","2028-10-10","482,00","1,91","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"BCPSA7","7,6772","IPCA_SPREAD","B35 - 36 bps","IPCA + 7.0225%","2026-07-17","2036-01-15","1631,00","6,47","","","","2035-05-15","B35","8,0700","-36","ok","","ANBIMA Data API (web-bff)"
"BHIAA0","","DI_PERCENTUAL","—","100.0000% DI","2026-07-17","2050-11-28","","","","","","","","","","sem_taxa","Taxa indicativa vazia","ANBIMA Data API (web-bff)"
"BHIAC0","","DI_PERCENTUAL","—","100.0000% DI","2026-07-17","2050-11-28","","","","","","","","","","sem_taxa","Taxa indicativa vazia","ANBIMA Data API (web-bff)"
"BHSA11","8,2603","IPCA_SPREAD","B35 + 18 bps","IPCA + 6.8413%","2026-07-17","2044-03-15","1819,00","7,22","","","","2035-05-15","B35","8,0700","18","ok","","ANBIMA Data API (web-bff)"
