CD_ATIVO,GESTOR,VL_ALOCADO
"UTPS21","BTG WM",111666350.96
"ENGI39","Être-Davos",540961.11
"CEEBB2","Valora",3629874.08
"VAMO33","Andbank",518974.37
"VEBMA7","Safra Asset",154385470.99
"AHGD13","Drys",315901.54
"MOVI17","Scalare",362626.12
"VLIM18","Daycoval",1002914.8
"ALUP18","G5",44741237.18
"SBSPI8","BTG Asset",71782386.24
"IRJS15","Ace",507222.52
"ECER12","San WM",24288737.67
"RUMOB7","ARX",3330420.98
"KNST31","(fundo nao cadastrado)",39799.13
"DESK17","Inter",13358767.49
"MRSAA3","Andbank",2058110.99
"LMTPA1","CEF Asset",51150572.44
"TUPY35","(fundo nao cadastrado)",853542.61
"CEEBB6","SAM",118627278.3
"MGPRA0","Somma",1015471.63
"ENERA9","Principal",3923349.9
"IRJS15","G5",401461.24
"ANHBA6","BB Asset",271419401.07
"SAEL26","(fundo nao cadastrado)",18254594.86
"ISAEA8","Root",3769676.59
"EQUA11","ASA",249456.52
"TRPLA7","SVN",48317.41
"HFTE14","IAM",49128362.7
"VALEC0","Daycoval",105825.79
"TCBC19","(fundo nao cadastrado)",20962911.9
"PLAC13","AZ Quest",127687532.81
"RDORC7","AZ Quest",1027900.2
"ESULA6","Galapagos",1445735.39
"AESOA1","Absolute",34882547.7
"MNLT11","Quantitas",30487646.26
"ELPLA5","(fundo nao cadastrado)",74861.28
"EGIEA1","BB Asset",31047716.83
"ASAI22","Brave",1336540.27
"GASC18","San WM",15639959.01
"ENGIA9","XPG",3238138.47
"ENGIB0","ASA",961126.28
"CSMGB6","BTG Asset",907719.14
"TSSG21","San WM",18003974.77
"CTEE1B","Sparta",1762470.08
"SBSPD3","Nu Asset",518199.69
"VBBR15","Vinland",217319.95
"SBSPK8","(fundo nao cadastrado)",13363779.03
"VIXL15","(fundo nao cadastrado)",1628215.31
"CMIN11","Rubik",26604.57
"ECOV17","IAM",106747870.31
"WNBR12","Augme",1222045.93
"RECV11","Maud",482426.28
"CSANC1","Riza",931639.6
"ELET15","Galt",805342.43
"ARML13","SPX",27558292.73
"CHTH11","Safra Asset",20252558.43
"CCROA7","Atena",11428312.45
"USIM29","Absolute",11894201.1
"RSAN26","Riza",16270872.15
"AESLA9","Riza",727340.19
"CTEE29","WHG",325584.77
"ENERB7","Vinland",1004.21
"VAMO23","Investcoop",17848020.09
"CTEE1B","G5",1088334.39
"ERDVC3","FAR",443543.38
"MEZ511","BTG Asset",18717924.73
"SBSPD7","EQI",8777740.04
"CASN24","BRZ",8817866.75
"CGOSB0","BRAM",18935903.62
"CHSF13","Ace",503414.46
"TAEED2","Vinland",258398.46
"SUZB19","TAG",106709.6
"COCEB2","UBS",50370280.35
"MULTA5","ASA",1048029.86
"RIS424","Ace",105590.86
"ARTRA5","Tenax",452816.51
"HAPV15","Occam",1276428.71
"CEEBB2","(fundo nao cadastrado)",28622624.67
"IPIA17","IAM",283368644.09
"CBRDA8","(fundo nao cadastrado)",3398047.82
"VERO23","BB Asset",19965096.26
"NTSD26","Valora",938615.41
"VBBR18","Paramis",516694.6
"VALEC0","AF Invest",919626.07
"TBSP12","Sulamérica",129049554.53
"CEPEA6","XPG",22850581.13
"SUHA11","Augme",4441112.92
"TAEEB2","Oriz",226896.43
"ARTR19","(fundo nao cadastrado)",333497.93
"PEJA22","Journey",1860728.21
"CTTL11","Riza",25198653.13
"ENMTB2","Porto Asset",23729072.69
"ASAI19","XPG",38594212.8
"FISI14","Safra Asset",20912664
